clusterNumber,5
id,Distance,AirTime,centroidID
0,993.0,130.0,3
1,294.0,50.0,0
2,294.0,49.0,0
3,341.0,54.0,0
4,341.0,52.0,0
5,1242.0,221.0,3
6,1090.0,158.0,3
7,1090.0,166.0,3
8,1090.0,166.0,3
9,273.0,42.0,0
10,148.0,26.0,0
11,148.0,27.0,0
12,148.0,27.0,0
13,148.0,27.0,0
14,148.0,35.0,0
15,148.0,29.0,0
16,148.0,28.0,0
17,148.0,38.0,0
18,528.0,80.0,1
19,528.0,78.0,1
20,528.0,84.0,1
21,528.0,77.0,1
22,189.0,36.0,0
23,189.0,41.0,0
24,189.0,39.0,0
25,189.0,40.0,0
26,189.0,42.0,0
27,189.0,43.0,0
28,189.0,39.0,0
29,189.0,41.0,0
30,189.0,40.0,0
31,189.0,42.0,0
32,189.0,43.0,0
33,189.0,35.0,0
34,189.0,33.0,0
35,1342.0,160.0,3
36,1342.0,156.0,3
37,756.0,103.0,2
38,756.0,97.0,2
39,756.0,91.0,2
40,758.0,127.0,2
41,324.0,46.0,0
42,324.0,46.0,0
43,324.0,49.0,0
44,324.0,48.0,0
45,324.0,50.0,0
46,324.0,49.0,0
47,324.0,46.0,0
48,324.0,45.0,0
49,277.0,51.0,0
50,277.0,53.0,0
51,1130.0,160.0,3
52,717.0,123.0,2
53,717.0,117.0,2
54,1073.0,166.0,3
55,1073.0,167.0,3
56,1073.0,144.0,3
57,2237.0,353.0,4
58,288.0,58.0,0
59,288.0,62.0,0
60,288.0,58.0,0
61,288.0,57.0,0
62,288.0,58.0,0
63,288.0,60.0,0
64,288.0,56.0,0
65,321.0,56.0,0
66,321.0,61.0,0
67,1497.0,173.0,4
68,934.0,103.0,2
69,493.0,75.0,1
70,1180.0,174.0,3
71,628.0,102.0,2
72,628.0,102.0,2
73,628.0,105.0,2
74,328.0,63.0,0
75,328.0,69.0,0
76,328.0,73.0,0
77,328.0,60.0,0
78,328.0,58.0,0
79,328.0,60.0,0
80,328.0,62.0,0
81,328.0,61.0,0
82,328.0,62.0,0
83,328.0,60.0,0
84,328.0,60.0,0
85,1111.0,186.0,3
86,889.0,145.0,2
87,889.0,133.0,2
88,889.0,137.0,2
89,1121.0,122.0,3
90,1121.0,124.0,3
91,1552.0,178.0,4
92,1552.0,178.0,4
93,718.0,79.0,2
94,718.0,78.0,2
95,332.0,47.0,0
96,289.0,43.0,0
97,677.0,117.0,2
98,677.0,121.0,2
99,677.0,120.0,2
100,677.0,114.0,2
101,487.0,86.0,1
102,487.0,82.0,1
103,487.0,78.0,1
104,487.0,75.0,1
105,487.0,78.0,1
106,487.0,79.0,1
107,759.0,98.0,2
108,759.0,98.0,2
109,759.0,92.0,2
110,223.0,39.0,0
111,223.0,39.0,0
112,223.0,38.0,0
113,580.0,74.0,1
114,580.0,71.0,1
115,580.0,70.0,1
116,580.0,73.0,1
117,580.0,70.0,1
118,580.0,73.0,1
119,580.0,80.0,1
120,1670.0,176.0,4
121,277.0,36.0,0
